Bengali,Chakma,Tense
সে পাতা গুলো মেেকে নিে যাচ্ছে,𑄥𑄬 𑄛𑄓𑄟𑄴 𑄥𑄧𑄭𑄚𑄳𑄠𑄧𑄃𑄪𑄚𑄬 𑄣𑄧𑄣𑄇𑄴 𑄟𑄧𑄚𑄨𑄛𑄧𑄢𑄨 𑄟𑄨𑄣𑄬।,Present
. তার থেকে নািভুিটা ভালো হবে।,𑄥𑄨𑄖𑄴𑄖𑄪𑄚𑄴 𑄚𑄧𑄃𑄧 𑄉𑄧𑄢𑄨 𑄎𑄧𑄚𑄧𑄟𑄴 𑄦𑄧𑄣𑄧 𑄟𑄧𑄕𑄨𑄛𑄪𑄢𑄨 𑄟𑄪𑄎𑄪𑄟𑄚𑄴।,Future
তাদের পাহাি বলে,𑄖𑄢𑄢𑄬 𑄛𑄋𑄣𑄴 𑄇𑄧𑄚𑄴।,Present
সে পাহািটা মণিপুরে অনেক বেশি পাহািেছে,𑄥𑄬 𑄟𑄪𑄎𑄪𑄢𑄴𑄟𑄚𑄴 𑄟𑄧𑄕𑄨𑄛𑄪𑄢𑄨𑄃𑄪𑄚𑄬 𑄃𑄧𑄎𑄧𑄣𑄴 𑄟𑄧𑄕𑄨𑄛𑄪𑄢𑄨𑄃𑄪𑄚𑄧𑄢𑄬 𑄘𑄉𑄧𑄚𑄴 “𑄟𑄟𑄪”।,Present
সে বাদে এসে মলাটা শেষ করল,𑄥𑄬 𑄝𑄘𑄬 𑄃𑄥𑄟𑄧𑄖𑄴𑄠𑄳𑄠𑄧 𑄃𑄦𑄧𑄟𑄨𑄠 𑄟𑄪𑄎𑄪𑄟𑄚𑄴 𑄃𑄧𑄣𑄇𑄴।,Past
"আজকে আমরা ভে ভে মারামারি করি, খুন করে মানুষরা কোথা যাবে?","𑄃𑄨𑄢𑄪𑄇𑄴 𑄇𑄣𑄬 𑄃𑄟𑄨 𑄞𑄬𑄃𑄨𑄠𑄬 𑄞𑄬𑄃𑄨𑄠𑄬 𑄟𑄢𑄟𑄢𑄨, 𑄈𑄪𑄚𑄧𑄈𑄪𑄚𑄨 𑄉𑄧𑄢𑄨 𑄎𑄧𑄚𑄧𑄟𑄴 𑄘𑄨𑄢𑄴 𑄝𑄢𑄴𑄝𑄮 𑄌𑄋𑄴𑄟 𑄎𑄘𑄧𑄖𑄴 𑄚𑄪𑄃𑄧 𑄎𑄖𑄴?",Future
.মলা ভুলে গেলে চাকমাদের দুঃখ শেষ হনা,𑄟𑄪𑄢𑄧𑄖𑄴 𑄛𑄪𑄢𑄨 𑄞𑄝𑄨𑄣𑄬 𑄘𑄬𑄊 𑄡𑄠𑄴 𑄌𑄋𑄴𑄟 𑄎𑄘𑄧𑄢𑄴 𑄘𑄪𑄇𑄴 𑄜𑄪𑄢𑄬𑄝𑄢𑄴 𑄇𑄧𑄚𑄧 𑄃𑄨𑄁𑄉𑄨𑄖𑄴 𑄚𑄬𑄃𑄨,Present
১৯৪৭ সালে ভারত আর পাকিস্তান ভাগ হওার পর আমাদের চামা যে দুঃখ পেছে,𑄷𑄿𑄺𑄽 𑄥𑄣𑄧𑄖𑄴 𑄞𑄢𑄧𑄖𑄴 𑄃 𑄛𑄇𑄨𑄥𑄴𑄖𑄚𑄴 𑄞𑄇𑄴 𑄦𑄧𑄚𑄢𑄴 𑄎𑄬𑄢𑄬𑄖𑄴𑄖𑄪𑄚𑄴 𑄙𑄧𑄢𑄨 𑄃𑄟 𑄌𑄋𑄴𑄟 𑄎𑄘𑄧 𑄇𑄧𑄝𑄣𑄧𑄖𑄴 𑄡𑄬 𑄘𑄪𑄇𑄴 𑄣𑄬𑄝𑄬𑄘𑄳𑄠 𑄡𑄬𑄠𑄳𑄠।,Present
বার বার খেতে খেতে মনে হ সে রাতের বেলা কালো ঘুঙিে দৌাদৌি করে সে কালো ঘুঙিে হেঁটে যাচ্ছে,"𑄝𑄢𑄴𑄝𑄋𑄚𑄬 𑄡𑄬𑄙𑄧𑄇𑄴 𑄝𑄢𑄴 𑄃𑄬𑄇𑄴𑄈𑄚 𑄥𑄪𑄉𑄧𑄢𑄴 𑄛𑄳𑄦𑄧𑄢𑄴 𑄝𑄬𑄘 𑄘𑄳𑄠, 𑄥𑄬 𑄛𑄳𑄦𑄧𑄢𑄧𑄢𑄴 𑄈𑄬𑄝𑄬 𑄈𑄬𑄝𑄬 𑄟𑄢𑄬 𑄝𑄪𑄘𑄧𑄙𑄧 𑄙𑄳𑄠𑄚𑄴 𑄞𑄋𑄨 𑄘𑄨𑄝𑄖𑄳𑄠𑄃𑄨 𑄃𑄇𑄳𑄢𑄧𑄟𑄚𑄴 𑄉𑄧𑄌𑄴𑄍𑄬 𑄛𑄢 𑄇𑄣 𑄊𑄪𑄢𑄴𑄊𑄌𑄳𑄠 𑄃𑄚𑄴𑄙𑄢𑄬 𑄏𑄝𑄬𑄃𑄨 𑄥𑄬 𑄛𑄳𑄦𑄧𑄢𑄴 𑄦𑄏𑄨 𑄡𑄬𑄠𑄬𑄉𑄮𑄃𑄨 𑄌𑄧𑄣𑄧𑄚𑄴𑄘𑄨 𑄊𑄧𑄣𑄮𑄚𑄴𑄘𑄨𑄖𑄴।",Present
এক দিন একটা চিঠি আসলো ১৯৬৪ সালে,𑄃𑄬𑄇𑄴𑄘𑄨𑄚𑄴 𑄃𑄬𑄇𑄴𑄇𑄱 𑄃𑄧𑄇𑄴𑄖𑄧 𑄃𑄬𑄣𑄧 𑄷𑄿𑄼𑄺 𑄥𑄣𑄧𑄢𑄴 𑄝𑄧𑄢𑄴 𑄛𑄧𑄢𑄧𑄋𑄴 𑄎𑄬𑄢𑄬।,Past
".গ্রামের মানুষদের সবাই এই উনে কে কোথা যাবে,কে কোথা থাকবে","𑄎𑄘𑄧𑄢𑄴 𑄟𑄚𑄪𑄌𑄴𑄍𑄪𑄚𑄧𑄢𑄬 𑄝𑄬-𑄃𑄪𑄘𑄨𑄌𑄴 𑄃𑄧𑄃𑄨 𑄃𑄪𑄖𑄴𑄖𑄮𑄚𑄴 𑄇𑄧𑄚𑄬 𑄇𑄪𑄙𑄪 𑄡𑄬𑄝𑄇𑄴, 𑄇𑄧𑄚𑄬 𑄇𑄪𑄙𑄪 𑄗𑄬𑄝𑄇𑄴।",Future
এখানে ব ব আকাশ দেখা যা,𑄃𑄨𑄚𑄴𑄘𑄨 𑄝𑄧𑄢𑄴 𑄛𑄧𑄢𑄧𑄋𑄧𑄢𑄴 𑄘𑄬𑄌𑄴 𑄥𑄢𑄨 𑄡𑄬𑄝𑄢𑄴 𑄉𑄧𑄋𑄴।,Present
.উপরের দিকে বাবা-চাচারা জাগা খুঁজে পাচ্ছে না,𑄃𑄪𑄚𑄴𑄘𑄨 𑄃𑄨𑄖𑄴𑄖𑄮 𑄇𑄪𑄘𑄪𑄟 𑄃 𑄝𑄛𑄴 𑄘𑄘 𑄊𑄧𑄢𑄴𑄛𑄘 𑄎𑄉 𑄥𑄢𑄨 𑄚𑄧 𑄛𑄌𑄴𑄍𑄬 𑄟𑄬𑄠𑄳𑄠।,Present
"বোই-পুি, মা-ঝি, ভাই-বোনেরা এত ব হেছে তবুও মনের দুঃখ পেতেছে না","𑄝𑄝𑄬-𑄛𑄪𑄘𑄬, 𑄟-𑄏𑄨𑄠𑄬, 𑄞𑄬𑄃𑄨𑄠𑄬 𑄞𑄬𑄃𑄨𑄠𑄬, 𑄝𑄮𑄚𑄬 𑄝𑄮𑄚𑄬 𑄃𑄨𑄖𑄴𑄖𑄮𑄇𑄪𑄘𑄪𑄟𑄴 𑄜𑄢𑄧𑄇𑄴 𑄦𑄧𑄚𑄢𑄴 𑄘𑄬𑄊𑄬𑄃𑄨 𑄚𑄧 𑄛𑄌𑄴𑄍𑄬 𑄟𑄧𑄚𑄧 𑄘𑄪𑄇𑄴।",Present
". যারা দোলের পাশে থাকে, তাদের বািতে দুঃখ তো আসেই না, তারা শুধু পাহাের পাশে দুঃখ করে","𑄡𑄨𑄃𑄪𑄚𑄴 𑄘𑄬𑄌𑄴 𑄥𑄢𑄨 𑄡𑄨𑄠𑄮𑄚𑄴 𑄘𑄧 𑄡𑄨𑄠𑄮𑄚𑄴𑄘𑄮𑄃𑄨, 𑄖𑄢𑄢𑄴 𑄇𑄧𑄝𑄣𑄧𑄖𑄴 𑄘𑄪𑄇𑄴 𑄘𑄧 𑄃𑄬𑄣𑄬𑄠𑄳𑄠𑄧 𑄃𑄬𑄣𑄧 𑄃 𑄡𑄨𑄃𑄪𑄚𑄴 𑄊𑄧𑄢𑄴𑄛𑄘 𑄎𑄉 𑄟𑄬𑄠𑄳𑄠 𑄃𑄨𑄢𑄨 𑄚𑄧 𑄛𑄢𑄨 𑄃𑄨𑄢𑄪𑄇𑄴 𑄦𑄨𑄣𑄴 𑄌𑄘𑄨𑄉𑄋𑄧𑄖𑄴 𑄢𑄧𑄣𑄇𑄴 𑄖𑄢𑄢𑄴𑄠𑄳𑄠𑄧 𑄜𑄁 𑄦𑄧𑄣𑄧 𑄚𑄪𑄃𑄧 𑄉𑄧𑄢𑄨 𑄃𑄢𑄧 𑄘𑄪𑄇𑄴।",Present
নিজের ভে মাটিতে আর শেষ নেই এমন জীবন,𑄚𑄨𑄎𑄧 𑄞𑄨𑄘𑄬 𑄟𑄘𑄨 𑄝𑄎𑄬𑄃𑄨 𑄢𑄊𑄬𑄝𑄖𑄳𑄠𑄃𑄨 𑄣𑄢𑄳𑄦𑄬 𑄃𑄬𑄡𑄧 𑄗𑄪𑄟𑄴 𑄚𑄬𑄃𑄨 𑄘𑄪𑄉𑄧𑄢𑄴 𑄎𑄨𑄁𑄇𑄚𑄨।,Present
এই রকম করে অনেক বছর গেল,𑄃𑄬 𑄙𑄧𑄇𑄳𑄠𑄬 𑄉𑄧𑄢𑄨 𑄝𑄨𑄘𑄨 𑄉𑄬𑄣𑄇𑄴 𑄞𑄣𑄮𑄇𑄴𑄇𑄮 𑄝𑄧𑄏𑄧𑄢𑄴।,Past
লেংটি পে থাকল সব কিছু,𑄣𑄳𑄦𑄬𑄟𑄴 𑄛𑄧𑄢𑄨 𑄗𑄬𑄣𑄧 𑄎𑄖𑄴𑄖𑄮 𑄝𑄬𑄇𑄴 𑄇𑄨𑄗𑄳𑄠𑄘𑄨।,Past
সে বছর পরে খুব অন্ধকার হে একটা বই পে গেল,𑄥𑄬 𑄉𑄧𑄙𑄬𑄣𑄴 𑄝𑄧𑄏𑄧𑄢𑄴 𑄎𑄬𑄢𑄬 𑄃𑄧𑄊𑄪𑄢𑄴 𑄃𑄚𑄴𑄙𑄢𑄧𑄟𑄠𑄴 𑄎𑄪𑄟𑄴𑄟𑄧 𑄎𑄘𑄧 𑄃𑄨𑄙𑄪 𑄞𑄬𑄘 𑄘𑄨𑄣𑄴 𑄃𑄬𑄇𑄴𑄇𑄱 𑄝𑄮𑄟𑄴𑄝𑄢𑄴 𑄛𑄮𑄖𑄴𑄛𑄮𑄖𑄳𑄠 𑄍𑄧𑄘𑄧𑄇𑄴 𑄍𑄨𑄘𑄨।,Past
দৌাদৌি করে মানুষের নাাচাা করতে হ,𑄎𑄘𑄧𑄢𑄴 𑄘𑄧𑄢𑄧𑄟𑄧𑄢𑄧 “𑄟𑄪𑄢𑄴𑄈𑄟𑄴” 𑄙𑄧𑄇𑄴 𑄥𑄪𑄚𑄚𑄪 𑄟𑄚𑄧𑄝𑄬𑄚𑄴𑄘𑄳𑄢𑄧 𑄚𑄢𑄠𑄧𑄚𑄴 𑄣𑄢𑄴𑄟।,Present
স্বপ্ন দেখতেছি নদী থেকে পানি পার,𑄥𑄧𑄝𑄧𑄚𑄴 𑄘𑄬𑄊𑄬𑄣𑄧 𑄘𑄪𑄉𑄧𑄖𑄴𑄖𑄪𑄚𑄴 𑄥𑄧𑄢𑄚𑄴 𑄛𑄬𑄝𑄢𑄴।,Present
জাতিটা মনে করে নদী থেকে পানি বের করতে হলে এই বান্দাটা পারবে,𑄎𑄖𑄴𑄖𑄮𑄠𑄳𑄠𑄧 𑄟𑄧𑄚𑄬 𑄉𑄧𑄢𑄨𑄣𑄧 𑄦𑄧𑄠𑄴 𑄘𑄪𑄉𑄧𑄖𑄴𑄖𑄪𑄚𑄴 𑄥𑄧𑄢𑄚𑄴 𑄛𑄬𑄝𑄢𑄴 𑄦𑄧𑄣𑄬 𑄃𑄬 𑄝𑄧𑄚𑄴𑄘𑄝𑄱 𑄛𑄢𑄨𑄝𑄧𑄘𑄬।,Future
মনে হ সংসারটা শেষ হেছে/ছেলেটা কি টিক টিক করে ফুটলো,𑄌𑄨𑄘𑄬 𑄉𑄧𑄢𑄨𑄣𑄧 𑄦𑄧𑄠𑄴𑄘𑄧 𑄥𑄧𑄁𑄥𑄢𑄚𑄬 𑄏𑄪𑄙𑄮/𑄚𑄬𑄖 𑄇𑄨 𑄖𑄨𑄉𑄪𑄌𑄳𑄠 𑄃𑄧𑄞𑄬𑄘𑄧𑄢𑄴 𑄉𑄧𑄢𑄨 𑄜𑄪𑄘𑄧𑄠𑄴 𑄚𑄨𑄚।,Past
"ঝুি তো বিপদ ঘটিে, নিজে নিজে ঝুি দিে কথা বলে","𑄏𑄪𑄙𑄮 𑄘𑄧 𑄃𑄧𑄞𑄁𑄛𑄘𑄢𑄬, 𑄚𑄨𑄎𑄧𑄢𑄬 𑄚𑄨𑄎𑄬 𑄏𑄪𑄙𑄮 𑄇𑄮𑄠𑄬 𑄍𑄥𑄉𑄧𑄢𑄴।",Present
"মানুষরা পাহাের মতো দেখতে এক জাতী প্রেতের সাথে মিশিেছে,দেশটা ভালো হেছে আমাদের সাথে","𑄟𑄖𑄴𑄖𑄧𑄢𑄴, 𑄟𑄚𑄧𑄝𑄬𑄚𑄴𑄘𑄳𑄢𑄧 𑄚𑄢𑄠𑄧𑄚𑄴 𑄣𑄢𑄴𑄟 𑄙𑄧𑄇𑄳𑄠𑄬 𑄇𑄧𑄠𑄴𑄝𑄮 𑄎𑄖𑄴 𑄛𑄳𑄢𑄬𑄖𑄳𑄠𑄃𑄨 𑄥𑄪 𑄌𑄨𑄘𑄬 𑄉𑄧𑄢𑄨𑄠𑄬, 𑄘𑄬𑄌𑄴 𑄞𑄣𑄬𑄖𑄳𑄠 𑄏𑄪𑄙𑄮 𑄃𑄟𑄳𑄦 𑄎𑄘𑄧𑄖𑄴 𑄦𑄮𑄠𑄮𑄚𑄴।",Present
.মাটির নিচের কোন চেহারা আছে?,𑄟𑄖𑄴𑄖𑄧𑄢𑄴 𑄎𑄘𑄧𑄢𑄴 𑄇𑄧𑄚𑄴 𑄙𑄧𑄇𑄳𑄠𑄬 𑄃𑄬 𑄇𑄪𑄈𑄌𑄳𑄠𑄖𑄴?,Present
"আজকে তাকে হারিেছি,কিছুক্ষণ করে মনে হ","𑄃𑄨𑄇𑄴𑄇𑄬 𑄖𑄢𑄬𑄠𑄳𑄠𑄧 𑄦𑄢𑄬𑄣𑄧𑄁 𑄃𑄎𑄚𑄴𑄘𑄖𑄴, 𑄚𑄧 𑄟𑄇𑄴𑄇𑄬 𑄉𑄧𑄢𑄨 𑄟𑄧𑄚𑄬 𑄟𑄧 𑄇𑄧𑄣𑄬𑄠𑄳𑄠𑄧।",Present
"হোঁচট খেলো আরও একবার,ঝামেলা উঠে","𑄗𑄬𑄝𑄧𑄢𑄧𑄇𑄴 𑄈𑄬𑄣𑄧 𑄃𑄢𑄧 𑄃𑄬𑄇𑄴 𑄈𑄬𑄛𑄴, 𑄎𑄘𑄧𑄢𑄴 𑄃𑄪𑄎𑄮𑄚𑄨 𑄃𑄪𑄎𑄚।",Past
ওই উে আসা আঁধারের মধ্যে এক জাতী বেল গাছ,𑄃𑄧𑄃𑄨 𑄃𑄪𑄘𑄨𑄣𑄧 𑄃𑄚𑄴𑄙𑄢𑄴 𑄎𑄘𑄧𑄢𑄴 𑄃𑄪𑄘𑄧𑄚𑄴𑄘𑄨 𑄝𑄬𑄣𑄧 𑄃𑄉𑄌𑄴।,Present
.ছাবি আলো আলো দিে অনেক বছর কেটে গেছে।,𑄍𑄝𑄨 𑄢𑄧𑄣𑄧 𑄃𑄚𑄴𑄙𑄢𑄬 𑄣𑄢𑄴𑄟𑄢𑄴—𑄃𑄬𑄙𑄧𑄇𑄴 𑄝𑄧𑄏𑄧𑄢𑄧𑄢𑄴 𑄚𑄨𑄃𑄣𑄴𑄌𑄨 𑄈𑄘𑄪𑄚𑄨𑄣𑄮𑄃𑄨 𑄝𑄚𑄬𑄠𑄳𑄠 𑄎𑄘𑄧 𑄣𑄢𑄳𑄦𑄬𑄠𑄧𑄢𑄴 𑄉𑄧𑄙 𑄃𑄢𑄴𑄉𑄚𑄨।,Present
"অন্য দিনে জাত ভূতগুলো তো বোর মানুষ,আমাদের জাতী ভূতগুলো কথা বলতেছে","𑄃𑄢𑄴 𑄃𑄨𑄢𑄪𑄇𑄴 𑄘𑄨𑄚𑄧𑄖𑄴 𑄎𑄖𑄴 𑄛𑄳𑄢𑄬𑄖𑄳𑄠𑄃𑄨 𑄘𑄧 𑄝𑄬𑄉𑄮𑄘𑄮𑄃𑄨 𑄇𑄮𑄣𑄬𑄢𑄴 𑄟𑄖𑄴𑄖𑄧𑄢𑄴, 𑄃𑄟𑄳𑄦 𑄙𑄧𑄙𑄳𑄠𑄬 𑄎𑄖𑄴 𑄛𑄳𑄢𑄬𑄖𑄳𑄠𑄃𑄪𑄚𑄧𑄢𑄴 𑄇𑄧𑄙 𑄇𑄧𑄎𑄧𑄚𑄬 𑄥𑄪𑄚𑄧𑄘𑄧𑄚𑄴।",Present
"সংসারে মানুষ রাখার জন্য আর নিজের মতো করে থাকার জন্য এত ব মানুষ আছে, কত ব মানুষ আছে",𑄥𑄧𑄁𑄥𑄢𑄧𑄖𑄴 𑄎𑄖𑄴 𑄝𑄎𑄬𑄝𑄢𑄴 𑄃 𑄚𑄨𑄎𑄧 𑄃𑄧𑄊𑄧 𑄟𑄉𑄚 𑄛𑄬𑄝𑄢𑄴 𑄣𑄢𑄳𑄦𑄬𑄠𑄧𑄖𑄴 𑄟𑄚𑄪𑄌𑄴 𑄗𑄪𑄝𑄮 𑄉𑄧𑄢𑄧𑄘𑄬 𑄡𑄬𑄚𑄬𑄃𑄨 𑄘𑄧𑄢𑄧𑄟𑄧𑄢𑄧 𑄏𑄪𑄙𑄮𑄢𑄴 𑄡𑄬𑄙𑄧𑄇𑄳𑄠𑄬 𑄉𑄧𑄢𑄧𑄌𑄴 𑄃𑄊𑄬 𑄗𑄨𑄇𑄴 𑄥𑄬𑄙𑄧𑄇𑄳𑄠𑄬 𑄟𑄚𑄴𑄌𑄪𑄢𑄴 𑄟𑄧𑄚𑄧𑄖𑄴 𑄃𑄪𑄌𑄴𑄍𑄮𑄟𑄨 𑄖𑄪𑄣𑄨 𑄘𑄬𑄘𑄬𑄠𑄳𑄠𑄧 𑄇𑄧𑄠𑄬𑄇𑄴 𑄙𑄧𑄇𑄳𑄠𑄬 𑄇𑄝𑄨𑄣𑄴 𑄟𑄚𑄪𑄌𑄴 𑄉𑄧𑄢𑄧𑄌𑄴 𑄃𑄊𑄬।,Present
"যতগুলো লেলিে যাওা কাপ, গিে গিে ওঠা কাপ","𑄡𑄬𑄙𑄧𑄇𑄳𑄠𑄬 𑄣𑄬𑄊𑄨𑄠𑄳𑄠 𑄇𑄝𑄨𑄣𑄴, 𑄉𑄨𑄖𑄴 𑄉𑄬𑄃𑄨𑄠𑄳𑄠 𑄇𑄝𑄨𑄣𑄴 𑄃𑄨𑄃𑄪𑄚𑄴।",Present
"লেলিে যাওা কাপগুলো যতগুলো করে সেলাই করে মানুষরা একটা জাগা আসে, সেখান থেকে পাখানা করে মানুষরা একটি জাগা বসে আছে",𑄣𑄬𑄊𑄩𑄠𑄳𑄠 𑄇𑄝𑄨𑄣𑄴𑄃𑄪𑄚𑄬 𑄡𑄬𑄙𑄧𑄇𑄳𑄠𑄬 𑄉𑄧𑄢𑄨 𑄖𑄢𑄢𑄴 𑄣𑄬𑄊 𑄖𑄚𑄬 𑄖𑄚𑄨𑄚𑄬𑄠𑄴 𑄟𑄚𑄴𑄎𑄮𑄢𑄬 𑄃𑄬𑄇𑄴𑄈𑄚𑄴 𑄎𑄉𑄖𑄴 𑄃𑄚𑄨 𑄗𑄪𑄝𑄮 𑄉𑄧𑄢𑄨 𑄛𑄢𑄧𑄚𑄴 𑄗𑄨𑄇𑄴 𑄥𑄨𑄖𑄴𑄖𑄪𑄚𑄴 𑄏𑄘𑄨 𑄉𑄨𑄖𑄴 𑄉𑄬𑄃𑄨𑄠𑄳𑄠 𑄇𑄝𑄨𑄣𑄴𑄃𑄪𑄚𑄬 𑄉𑄨𑄘𑄧𑄢𑄴 𑄇𑄧𑄙 𑄃 𑄥𑄪𑄢𑄧𑄢𑄴 𑄟𑄬𑄠𑄳𑄠𑄃𑄨 𑄟𑄚𑄪𑄌𑄴 𑄗𑄪𑄝𑄮 𑄃𑄧𑄃𑄨 𑄃𑄬𑄇𑄴𑄈𑄚𑄴 𑄎𑄉𑄖𑄴 𑄎𑄙 𑄝𑄧𑄘𑄧𑄚𑄴।,Present
এখনকার দিনে গিে গিেছে তো ছিে,𑄃𑄨𑄢𑄪𑄇𑄴 𑄘𑄨𑄚𑄧𑄖𑄴 𑄉𑄨𑄖𑄴 𑄉𑄬𑄃𑄨𑄠𑄳𑄠 𑄘𑄧 𑄍𑄧𑄥𑄉𑄧𑄢𑄴।,Present
"সেই গিঁটে মানুষের প্রাণের কথা হেছে, তার গলা একটা গিঁট আছে","𑄟𑄖𑄴𑄖𑄧𑄢𑄴, 𑄥𑄬 𑄉𑄨𑄘𑄧𑄖𑄴 𑄟𑄚𑄴𑄎𑄮𑄢𑄴 𑄛𑄧𑄢𑄚𑄧𑄖𑄴 𑄜𑄪𑄘𑄬 𑄛𑄢 𑄉𑄨𑄘𑄮𑄢𑄴 𑄇𑄧𑄙 𑄃 𑄛𑄧𑄢𑄚𑄴 𑄦𑄉𑄧𑄣𑄴 𑄛𑄉𑄧𑄣𑄴 𑄃𑄧𑄃𑄨 𑄃𑄪𑄘𑄬 𑄛𑄢 𑄉𑄧𑄣 𑄢𑄧 𑄇𑄧𑄠𑄴𑄝𑄱 𑄉𑄨𑄘𑄧 𑄇𑄝𑄨𑄣𑄴 𑄃𑄊𑄧𑄚𑄴।",Present
আমার বাবা যে দুটি গিে শুনালো তার গলা অনেক কম দেখা যা,𑄟𑄧 𑄃𑄨𑄎𑄬𑄝𑄬 𑄡𑄬𑄘𑄪𑄇𑄴𑄇𑄮 𑄉𑄨𑄖𑄴 𑄥𑄪𑄚𑄴𑄚𑄮𑄁 𑄃 𑄉𑄨𑄘𑄮𑄢𑄴 𑄉𑄧𑄣 𑄘𑄬𑄇𑄴𑄈𑄮𑄁 𑄃𑄨𑄢𑄪𑄇𑄴 𑄘𑄨𑄚𑄧𑄢𑄴 𑄥𑄪𑄚𑄚𑄪 𑄥𑄧𑄟𑄴𑄞𑄪𑄣𑄣𑄴 𑄌𑄋𑄴𑄟 𑄙𑄧𑄇𑄴 𑄇𑄧𑄟𑄴𑄠𑄳𑄠𑄧 𑄘𑄬𑄊 𑄡𑄨𑄠𑄬।,Past
এত তার ভে এত ব কথা বলতেছে,𑄡𑄬𑄙𑄧𑄇𑄳𑄠𑄬 𑄖𑄢𑄴 𑄉𑄧𑄘𑄧𑄢𑄴 𑄇𑄧𑄙 𑄥𑄬𑄙𑄧𑄇𑄳𑄠𑄬 𑄖 𑄉𑄧𑄣𑄢𑄴 𑄢𑄧 𑄃 𑄉𑄧𑄌𑄴𑄌𑄢।,Present
".মানুষ,হাত দিে ভাত খাওার কথা এত ব ব করে বলতেছে যে,মানুষটা ব ব করে হামাগুি দিচ্ছে","𑄟𑄖𑄴𑄖𑄧𑄢𑄴, 𑄦𑄞𑄨𑄣𑄳𑄠𑄌𑄴 𑄈𑄬𑄝𑄢𑄴 𑄇𑄧𑄙 𑄡𑄬𑄙𑄧𑄇𑄳𑄠𑄬 𑄉𑄧𑄢𑄨 𑄎𑄘𑄧𑄢𑄴 𑄇𑄧𑄝𑄣𑄧 𑄇𑄇𑄳𑄠𑄬 𑄘𑄋𑄧𑄢𑄧𑄖𑄴𑄖𑄪𑄚𑄴 𑄘𑄋𑄧𑄢𑄴 𑄏𑄪𑄙𑄮 𑄟𑄚𑄧𑄝𑄬𑄚𑄴𑄘𑄳𑄢𑄧 𑄚𑄢𑄠𑄧𑄚𑄴 𑄣𑄢𑄴𑄟𑄢𑄬 𑄦𑄢𑄬𑄠𑄬𑄃𑄨।",Present
.তার থেকে একটা ঝুি ধরে চলে গেছে।,𑄥𑄨𑄖𑄴𑄪𑄚𑄴 𑄃𑄬𑄇𑄴𑄈𑄚 𑄏𑄪𑄙𑄮 𑄙𑄧𑄉𑄬 𑄃𑄢𑄘𑄬 𑄡𑄬𑄢𑄴 𑄥𑄪𑄚𑄚𑄪 𑄥𑄧𑄟𑄴𑄞𑄪𑄣𑄣𑄴 𑄌𑄋𑄴𑄟𑄢𑄬𑄠𑄳𑄠𑄧।,Present
"তার কেকটা যে দোল আছে, দোলটা একটু হলে মনে হ না সেই গিঁটটা","𑄖𑄢𑄴 𑄇𑄧𑄠𑄬𑄇𑄴𑄇𑄱 𑄡𑄬 𑄘𑄬𑄌𑄴 𑄇𑄮𑄌𑄴𑄛𑄨𑄠𑄬, 𑄘𑄬𑄌𑄴𑄛𑄳𑄢𑄬𑄖𑄳𑄠 𑄉𑄨𑄖𑄴 𑄃𑄢𑄧 𑄥𑄬 𑄣𑄧𑄉𑄬 𑄉𑄧𑄣 𑄢𑄧 𑄃𑄏 𑄉𑄧𑄢𑄧𑄁 𑄎𑄘𑄧𑄢𑄴 𑄗𑄚𑄴 𑄗𑄬𑄣𑄬 𑄥𑄬 𑄉𑄨𑄖𑄴𑄖𑄪𑄚𑄴 𑄥𑄪𑄚𑄴𑄚𑄮, 𑄥𑄣𑄬𑄚𑄴 𑄃𑄬𑄇𑄴𑄇 𑄦𑄧𑄣𑄬𑄠𑄳𑄠𑄧 𑄟𑄧𑄚𑄴 𑄚𑄧 𑄇𑄚𑄬 𑄥𑄬 𑄉𑄨𑄖𑄴 𑄥𑄪𑄚𑄨?",Present
বাবা-মা!,𑄬 𑄝𑄛𑄴-𑄞𑄬𑄃𑄨𑄣𑄧𑄇𑄴!,Present
উনা জাগা ঝগা করলো তাদেরকে আর ফিরতে হবে না,𑄫𑄨𑄃𑄪𑄚𑄴 𑄎𑄘𑄧𑄢𑄴 𑄏𑄪𑄙𑄮 𑄦𑄢𑄬𑄣𑄧𑄁 𑄖𑄢𑄢𑄬 𑄘𑄧 𑄃𑄢𑄴 𑄜𑄨𑄢𑄨 𑄛𑄬𑄝𑄢𑄴 𑄚𑄧𑄠𑄴।,Future
