chakma,bangla
𑄚𑄚𑄚𑄴 𑄙𑄧𑄇𑄳𑄠𑄬 𑄖𑄧𑄌𑄳𑄠 𑄃,বিভিন্ন ধরনের তরকারি আছে
𑄝𑄪𑄚𑄴𑄘𑄪𑄉𑄮𑄢𑄴 𑄃𑄝𑄎𑄧𑄖𑄴,বুোটা আছে আছে
"𑄟𑄧𑄚𑄬 𑄉𑄧𑄌𑄳𑄠𑄚𑄴, 𑄃𑄬 𑄘𑄬𑄏𑄧𑄢𑄴 𑄟𑄚𑄬𑄠𑄪𑄚𑄴",মনে হ এই দেশের মানুষরা
𑄃𑄨𑄠𑄚𑄨 𑄘𑄧𑄋𑄬𑄝𑄢𑄴 𑄛𑄧𑄘𑄴।,এগুলো পরিষ্কার করার পদ
𑄃𑄬𑄡𑄚𑄳𑄠 𑄉𑄪𑄢𑄨 𑄃𑄬𑄇𑄴𑄘𑄨𑄚𑄴 𑄃𑄬𑄣𑄧,আসা যাওা বাচ্চা একদিন আসলো
𑄝𑄃𑄪𑄚𑄴𑄚𑄧 𑄃𑄬𑄉𑄮𑄌𑄴 𑄜𑄬𑄝𑄳𑄢𑄧𑄠𑄢𑄨,এক জাতী মাশরুম
𑄟𑄢𑄴 𑄞𑄌𑄴-𑄟 𑄇𑄧𑄙 𑄣𑄪𑄉𑄬𑄃𑄨 𑄘𑄨𑄝𑄖𑄳𑄠𑄃𑄨,.মার ভাই-বোনের কথা লুকাে সারাদিন
𑄉𑄧𑄣𑄳𑄠𑄇𑄴 𑄷𑄺𑄺 𑄙𑄢 𑄎𑄢𑄨।,গালি বিশেষ
𑄃𑄬𑄃𑄨𑄚𑄴 𑄞𑄋𑄨𑄣𑄇𑄴 𑄃𑄬 𑄘𑄬𑄏𑄧𑄢𑄴 𑄟𑄚𑄬𑄠𑄪𑄚𑄬,এই দেশের মানুষরা এই দেশের মানুষরা
"𑄉𑄪𑄢𑄪𑄁 𑄉𑄪𑄢𑄪𑄁 𑄝𑄪𑄚𑄴𑄘𑄪𑄉𑄮𑄢𑄴 𑄃𑄝𑄎𑄧𑄖𑄴,",. গুরুং গুরুং বুো বাতাস আসছে
𑄟 𑄞𑄏𑄧𑄖𑄳𑄠𑄃𑄨 𑄃𑄎𑄨 𑄃𑄎𑄨 𑄛𑄧𑄢𑄚𑄴 𑄘𑄨𑄣𑄇𑄴,.মা ভে আবার প্রাণ দিল
"𑄢𑄧𑄜𑄨𑄇𑄴, 𑄥𑄧𑄜𑄨𑄇𑄴, 𑄥𑄣𑄟𑄴, 𑄎𑄧𑄝𑄴𑄝𑄧𑄢𑄴 𑄃 𑄝𑄧𑄢𑄴𑄇𑄧𑄖𑄴।","রফিক, সফিক, সালাম, জবরদস্ত"
𑄣𑄮 𑄘𑄬𑄚 𑄖𑄢𑄢𑄴 𑄝𑄧𑄢𑄴𑄝𑄘𑄴 𑄚𑄧 𑄡𑄠𑄴,চাল দো তাদের বরবাদ হ না
"𑄃𑄢𑄴, 𑄚𑄧 𑄡𑄬𑄝𑄧 𑄇𑄧𑄚𑄧 𑄘𑄨𑄚𑄴,","আরও,কোনো দিন যাবে না"
𑄖𑄢𑄢𑄴 𑄛𑄮𑄃𑄨𑄘𑄳𑄠𑄚𑄬 𑄛𑄬𑄠𑄬𑄃𑄨 𑄃𑄟𑄨,তাদের পা পে গেছি আমরা
𑄃𑄚𑄴𑄖𑄧𑄢𑄴𑄎𑄖𑄨𑄇𑄴 𑄟 𑄞𑄏𑄧𑄢𑄴 𑄘𑄨𑄚𑄴।,এক জাতী মাছ ধরার দিন
𑄟𑄧𑄚𑄧𑄢𑄴 𑄘𑄪𑄇𑄴 𑄇𑄧𑄙,মনের দুঃখ কথা
𑄥𑄪𑄚𑄚𑄪 𑄛𑄳𑄢𑄧𑄉𑄧𑄖𑄨 𑄌𑄋𑄴𑄟,সুঁচালো চামা
𑄟𑄪𑄃𑄨 𑄝𑄬𑄌𑄴 𑄉𑄧𑄟𑄴 𑄚𑄬𑄃𑄨 𑄞𑄬𑄃𑄨 𑄝𑄮𑄚𑄴 𑄣𑄧𑄇𑄴,.আমি বেশি ভালো নেই ভাই-বোনের লক্ষী
𑄝𑄚 𑄟𑄧𑄚𑄧𑄖𑄴 𑄌𑄨𑄘𑄬 𑄗𑄠𑄴,শুধু মনে চিন্তা করে থাকে
𑄇𑄪𑄙𑄪 𑄡𑄬𑄟𑄴 𑄦𑄬𑄋𑄪𑄢𑄨 𑄗𑄬𑄟𑄴 𑄇𑄪𑄣𑄴 𑄚𑄧 𑄛𑄋𑄧𑄢𑄴।,কোথা যাবো জানিনা
𑄥𑄧𑄟𑄢𑄴 𑄖𑄮𑄉𑄬𑄣𑄬 𑄥𑄧𑄟𑄢𑄴 𑄚𑄬𑄃𑄨𑄘𑄬 𑄙𑄧𑄇𑄴,সম আলোচনা করলে সম নাই এমন চেহারা
"𑄇𑄟𑄧 𑄇𑄧𑄢𑄧𑄎𑄬 𑄝𑄧𑄣𑄴 𑄚𑄬𑄃𑄨𑄘𑄬 𑄥𑄚𑄴,",কাজ করতে শক্তি নেই
𑄡𑄨𑄚𑄴𑄚𑄨 𑄌𑄋𑄴 𑄥𑄨𑄚𑄴𑄚𑄨 𑄟𑄪𑄃𑄨 𑄝𑄚 𑄘𑄬𑄊𑄧𑄋𑄴,.যেগুলো চামা দিে দেখা যা
𑄃𑄨𑄚𑄴𑄚𑄨 𑄃𑄪𑄚𑄴𑄚𑄨 𑄝𑄬𑄇𑄴𑄇𑄪𑄚𑄬 𑄟𑄬𑄢𑄴 𑄈𑄚𑄴।,সবাই মার খাওা
𑄍𑄨𑄖𑄴𑄖𑄨𑄢𑄨𑄁 𑄛𑄖𑄴𑄖𑄢𑄁 𑄟𑄧 𑄎𑄖𑄴 𑄞𑄬𑄃𑄨,এক জাতী পাখি
"𑄘𑄬𑄏𑄧𑄖𑄴 𑄝𑄨𑄘𑄬𑄏𑄧𑄖𑄴 𑄛𑄧𑄢𑄨 𑄗𑄚𑄴,",মাটিতে পে থাকে
"𑄇𑄢𑄧𑄣𑄮𑄃𑄨 𑄈𑄧𑄝𑄧𑄢 𑄈𑄧𑄝𑄧𑄢𑄴, 𑄝𑄧𑄣𑄝𑄧𑄣𑄴 𑄚𑄬𑄃𑄨",".কারো খবর নেই,বলবান নেই"
𑄇𑄢𑄮 𑄣𑄉𑄧𑄖𑄴 𑄇𑄬𑄃𑄪𑄃𑄨 𑄚𑄧 𑄛𑄚𑄴।,কারো লাগতে কেউ পাওা যা না
"𑄚𑄬𑄃𑄨 𑄎𑄉, 𑄝𑄎𑄨 𑄡𑄬𑄝𑄢𑄴 𑄃𑄧𑄙𑄨𑄉𑄢𑄴","নেই জাগা, বেঁচে থাকার আশা"
"𑄚𑄬𑄃𑄨 𑄢𑄨𑄘𑄨𑄥𑄪𑄘𑄧𑄟𑄴, 𑄦𑄮𑄌𑄴 𑄛 𑄛𑄨,","নেই রিসটা,হওা পাওা"
"𑄖𑄢𑄬 𑄖𑄬 𑄉𑄧𑄝𑄉𑄧𑄝𑄨, 𑄝𑄧𑄘𑄴𑄚𑄟𑄴 𑄉𑄧𑄢𑄚","তাকে ভ দেওা, ভ করা"
"𑄃𑄬𑄇𑄴𑄟𑄪𑄖𑄴𑄖𑄬 𑄘𑄳𑄦𑄨 𑄟𑄪𑄖𑄴𑄖𑄬, 𑄣𑄟𑄴𑄝𑄝𑄘𑄨।","এক দিকে দুই পা,লম্বা"
"𑄖𑄬 𑄇𑄧𑄝𑄧 𑄃𑄬𑄇𑄴𑄈𑄚𑄴, 𑄃𑄪𑄖𑄬 𑄌𑄬𑄝𑄧 𑄃𑄢𑄧𑄇𑄴𑄈𑄚𑄴","সে বলবে একটা,ওর পরে আরেকটা"
"𑄡𑄬𑄚𑄴 𑄃𑄟𑄨 𑄛𑄣𑄴𑄣𑄖𑄴 𑄖𑄪𑄣𑄳𑄠 𑄝𑄬𑄁,",.যেন আমরা পাহাে তোলা ব্যাঙ
𑄡𑄨𑄙𑄪 𑄟𑄬𑄧𑄚 𑄇𑄧𑄠𑄴 𑄥𑄨𑄙𑄪 𑄝𑄬𑄢𑄬 𑄝𑄬𑄢𑄬 𑄗𑄚𑄴,যেখানে সেখানে মেেরা ঘুরে বো
"𑄃𑄧𑄥𑄪𑄉𑄨, 𑄡𑄬𑄚𑄴 𑄞𑄋 𑄃𑄙𑄪 𑄗𑄬𑄋𑄴।","অসুুগি, যেন ভাঙা পা"
𑄃𑄨𑄇𑄴𑄇𑄨𑄚𑄬 𑄡𑄨𑄉𑄪𑄚𑄬 𑄇𑄧𑄌𑄴𑄖𑄬 𑄝𑄨𑄌𑄴𑄖𑄬 𑄥𑄨𑄊𑄧𑄘𑄧𑄚𑄴,আজকাল সবাই কথা বলতেছে
𑄥𑄨𑄊𑄨𑄣𑄬 𑄌𑄉𑄪𑄢𑄨 𑄛𑄬𑄣𑄬 𑄘𑄬𑄟𑄇𑄴,সে চামা পেলে দেমাক
"𑄇𑄢𑄮 𑄊𑄧𑄢𑄧𑄖𑄴 𑄃𑄪𑄘𑄮 𑄃𑄪𑄘𑄨 , 𑄌 𑄌𑄨 𑄚𑄬𑄃𑄨","কারো বািে উঠতে হ, চাংচি নেই"
"𑄎𑄧𑄙 𑄉𑄧𑄢𑄨 𑄚𑄧 𑄗𑄚𑄴, 𑄉𑄠𑄴 𑄗𑄬𑄝𑄇𑄴।","জোর করে থাকে না,গাে থাকবে"
𑄊𑄧𑄢𑄧𑄖𑄴 𑄃𑄪𑄚𑄴𑄘𑄪𑄝𑄱 𑄃𑄪𑄘𑄬𑄢𑄴 𑄃𑄢𑄴 𑄛𑄧𑄢𑄬𑄢𑄴,বািতে উন্দুটা উঠতেছে আর পতেছে
"𑄖𑄬 𑄝𑄚 𑄉𑄧𑄛𑄴 𑄘𑄨 𑄘𑄨 𑄝𑄬𑄢𑄳𑄦𑄠𑄴,",সে শুধু এদিক সেদিক ঘুরে বো
𑄌𑄬𑄘𑄟𑄴 𑄚𑄬𑄃𑄨 𑄃𑄬𑄇𑄴𑄈𑄚 𑄟𑄨𑄙𑄬𑄉𑄪𑄣𑄨 𑄞𑄖𑄴,চোম নেই একটা মিষ্টি ভাত
𑄥𑄪𑄟𑄪𑄘𑄬 𑄘𑄋𑄧𑄢𑄴 𑄟𑄍𑄳𑄠𑄧 𑄦𑄢𑄠𑄴।,সুমোতে ব মাছ হেছে
"𑄥𑄪𑄚𑄚𑄪 𑄖𑄮𑄇𑄨 𑄌𑄋𑄴𑄟, 𑄝𑄨𑄃𑄬𑄥𑄴𑄥𑄨 𑄃𑄨𑄚𑄴 𑄚𑄢𑄴𑄥𑄨𑄁 𑄷 𑄝𑄧𑄏𑄧𑄢𑄴 𑄸𑄶𑄸𑄸",.সুঁচালো তরকারির চামা ১ বছর হবে
𑄃𑄃𑄮𑄎𑄮𑄢𑄴 𑄇𑄮𑄌𑄴𑄛𑄚,উঠান পরিষ্কার করা
𑄦𑄏𑄨 𑄉𑄬𑄣𑄬 𑄇𑄪𑄙𑄪?,হেঁটে গেলে কোথা?
𑄌𑄨𑄘𑄮𑄖𑄴 𑄥𑄎𑄬𑄠𑄳𑄠𑄧 𑄃𑄊𑄬,মনে হ সে ছোট আছে
𑄖𑄧 𑄦𑄣𑄴𑄣𑄬𑄋𑄧𑄢𑄴 𑄟𑄬𑄠𑄳𑄠 𑄝𑄧𑄘𑄪।,তোমার হাত দিে মেে দেওা ব
𑄚𑄬𑄃𑄨 𑄖𑄧𑄢𑄴 𑄇𑄧𑄚𑄳𑄦𑄧 𑄈𑄪𑄌𑄴,তোমার কোনো পদচিহ্ন
"𑄚𑄬𑄃𑄨 𑄖𑄧𑄢𑄴 𑄟𑄎𑄢,","তোমার মা নেই, নেই তোমার মা"
𑄃𑄚𑄴𑄙𑄢𑄴 𑄖𑄢𑄪𑄟𑄬 𑄘𑄉𑄨 𑄛𑄬𑄣𑄢𑄴,রাতের বেলা ডাক পেলাম
𑄚𑄮𑄚𑄬𑄠𑄳𑄠𑄧 𑄥𑄧𑄝𑄧𑄚𑄧𑄢𑄴 𑄃𑄏।,নাচা করে স্বপ্ন দেখা
𑄛𑄮𑄖𑄳𑄠 𑄝𑄬𑄣𑄴 𑄃𑄪𑄘𑄧𑄚𑄴𑄘𑄨𑄖𑄴,.পোা সূর্য অস্ত যাচ্ছে
"𑄟𑄧𑄚𑄚𑄬 𑄚𑄨𑄖𑄴𑄖𑄮 𑄦𑄞𑄨𑄣𑄳𑄠𑄌𑄴 𑄈𑄠𑄴,",মনে হ মনে হাত দিে খা
𑄇𑄮𑄌𑄴𑄛𑄚𑄢𑄴 𑄝𑄧 𑄚𑄨𑄎𑄬𑄌𑄴𑄃𑄚𑄨,কাপের ব টুকরো
𑄝𑄪𑄇𑄴𑄇𑄮𑄖𑄴 𑄘𑄨𑄝𑄬𑄘𑄨 𑄡𑄠𑄴।,বুকে ভর দিে যাও
𑄟𑄬𑄠𑄳𑄠 𑄝𑄢𑄬𑄁 𑄖𑄧𑄠𑄮𑄁 𑄥𑄪𑄟𑄪𑄢𑄨।,.মাা বারেং তোামুি
𑄖𑄧𑄢𑄬 𑄚𑄨𑄚𑄬𑄃𑄨 𑄃𑄬𑄇𑄴𑄇𑄱 𑄇𑄧𑄝𑄨𑄘𑄬,তোমাকে নিে একটা কবি আছে
𑄡𑄬 𑄇𑄧𑄝𑄨𑄘𑄬𑄝𑄱𑄖𑄴 𑄣𑄬𑄊 𑄗𑄬𑄝𑄧,যে কবিটাতে লেখা থাকবে
𑄝𑄚 𑄖𑄧 𑄇𑄟𑄧 𑄃 𑄖𑄧 𑄇𑄧𑄙।,"শুধু তোমার কাজ, শুধু তোমার কথা"
𑄜𑄉𑄪𑄚𑄧 𑄝𑄮𑄃𑄨𑄠𑄬𑄢𑄧𑄖𑄴 𑄍𑄨𑄘𑄨 𑄡𑄢𑄴,ফাল্গুন মাস ছিঁে যাওা
𑄟𑄨𑄋𑄨𑄚𑄨 𑄌𑄉𑄣𑄢𑄴 𑄦𑄬𑄘𑄬 𑄃𑄉𑄢𑄬,মিইনি নদীর উৎসস্থল
𑄃𑄢𑄧 𑄍𑄨𑄘𑄨 𑄛𑄧𑄢𑄬𑄢𑄴,আরও ছিঁা পরতেছে
𑄦𑄨𑄣𑄴 𑄌𑄘𑄨𑄋𑄧𑄢𑄴 𑄟𑄮𑄚𑄴 𑄟𑄪𑄢𑄳𑄦𑄧 𑄍𑄧𑄢𑄠𑄴 𑄍𑄧𑄢𑄠𑄴।,হিল চাদিা পাহাের পাহাে চা
𑄃𑄚𑄴𑄎𑄬𑄝𑄴 𑄘,এক জাতী বুনো ফল
𑄖𑄪𑄃𑄨 𑄚𑄨𑄦𑄣𑄴𑄌𑄨 𑄉𑄧𑄢𑄨,তোমরা লুকোচুরি করে
𑄖𑄧 𑄇𑄟𑄧𑄢𑄴 𑄇𑄧𑄙 𑄣𑄬𑄊 𑄗𑄬𑄝𑄧 𑄎𑄪𑄟𑄴𑄟𑄧 𑄝𑄨𑄎𑄧𑄉𑄧 𑄝𑄧𑄃𑄨𑄠𑄮𑄖𑄴,তোমার কাজের কথা বইে লেখা থাকবে
𑄖𑄪𑄃𑄨 𑄘𑄬𑄊𑄬 𑄡𑄧𑄢𑄴 𑄎𑄖𑄴𑄖𑄮𑄢𑄬,তোমরা দেখিে যাও
"𑄚𑄨𑄎𑄧 𑄞𑄌𑄴, 𑄚𑄨𑄎𑄧 𑄣𑄬𑄊 𑄥𑄬𑄊𑄚𑄢𑄴 𑄛𑄧𑄖𑄴,","নিজের ভাই,নিজের লেখা পা পথ"
𑄥𑄬𑄚𑄬 𑄖𑄧𑄚 𑄋𑄴 𑄖𑄧 𑄇𑄟𑄴 𑄃 𑄖𑄧 𑄇𑄧𑄙,সে তো তোমার কাজে পটু
"𑄥𑄪𑄚𑄚𑄪 𑄢𑄨𑄚 𑄌𑄋𑄴𑄟, 𑄞𑄢𑄧𑄖𑄴 𑄺/𑄿/𑄸𑄶𑄸𑄸","সুঁচালো চাংমা, ভারত ৪/০৯/২০২২"
"𑄚𑄨𑄢𑄴 𑄘𑄬𑄝𑄝𑄱 𑄖𑄧𑄣𑄬 𑄗𑄬𑄃𑄨 𑄃𑄊𑄧𑄌𑄴,",.নিঃশব্দ আকাশটার নিচে বসে আছে
"𑄢𑄨𑄛𑄴𑄢𑄨𑄛𑄴 𑄃𑄧𑄃𑄨 𑄚𑄨𑄢𑄴 𑄟𑄮𑄚𑄴,",রিপা এই নির্বংশ পা
"𑄃𑄧𑄣𑄧𑄢𑄴 𑄉𑄧𑄢𑄨 𑄝𑄌𑄳𑄠𑄬𑄃𑄨 𑄃𑄊𑄧𑄌𑄴,",.অপরিষ্কার করে বাতাস আসতেছে
𑄇𑄧 𑄘𑄧𑄇𑄴 𑄡𑄪𑄉𑄧𑄖𑄴𑄖𑄪𑄚𑄴।,কত যুগ থেকে
"𑄙𑄢𑄮𑄌𑄴 𑄉𑄧𑄢𑄨 𑄘𑄉𑄮𑄌𑄴 𑄟𑄧𑄢𑄬,",আমাকে আগ্রহ করে ডাকো
𑄟𑄨𑄙𑄬 𑄝𑄮𑄠𑄬𑄢𑄧𑄢𑄴 𑄥𑄨𑄇𑄴 𑄇𑄢𑄚 𑄣𑄮𑄃𑄨।,মিঠা বাতাসের শিস মারা হ
"𑄌𑄨𑄇𑄴𑄌𑄨𑄈𑄳𑄠 𑄃𑄟𑄖𑄴 𑄚𑄨𑄏𑄬𑄌𑄴 𑄣𑄧𑄃𑄨,",চিক চিক করে আমাদের নিশ্বাস নাও
"𑄘𑄬𑄝𑄣𑄳𑄠, 𑄃𑄬𑄉𑄟𑄧𑄚𑄴 𑄢𑄧 𑄚𑄨𑄏𑄬𑄚𑄨 𑄖𑄪𑄃𑄨।","আকাশ,এগজস্ট রেছে তুমি"
"𑄖𑄧𑄖𑄴 𑄃𑄪𑄘𑄮𑄚𑄨 𑄣𑄟𑄧𑄚𑄨𑄢𑄴 𑄦𑄘𑄧𑄖𑄴 𑄛𑄧𑄢𑄚𑄴,",.তার উঠা নামা পাে পা
𑄟𑄧𑄢𑄬 𑄟𑄪𑄃𑄨 𑄎𑄢𑄬𑄣𑄪𑄁 𑄝𑄚।,আমার মাথা টিউমার হছে
"𑄖𑄧𑄢𑄴 𑄃𑄚𑄴𑄴 𑄎𑄬𑄡𑄬 𑄊𑄚𑄴 𑄎𑄬𑄠𑄬, 𑄢𑄨𑄚𑄚,","তোমার মাথা গিে ঘাঁি গেছে,রান্না করা"
𑄛𑄨𑄏𑄪𑄟𑄴 𑄉𑄧𑄢𑄨 𑄘𑄮𑄌𑄴 𑄉𑄧𑄝𑄧𑄣 𑄝𑄚।,.নিঃশব্দ করে দো
"𑄖𑄧𑄢𑄴𑄥𑄚𑄴 𑄣𑄟𑄧𑄟𑄧𑄚𑄨𑄢𑄴 𑄘𑄚𑄴𑄘𑄢𑄋𑄳𑄠 𑄖𑄢 𑄡𑄋𑄣𑄴 𑄢𑄧 𑄥𑄬𑄢𑄬,",.তরকারিটা তাদের গাড়ির মধ্যে দিে যাচ্ছে
𑄃𑄧𑄃𑄨 𑄌𑄨𑄖𑄴 𑄘𑄨𑄊𑄮𑄣𑄴 𑄃𑄧𑄙𑄬𑄣𑄴 𑄇𑄮𑄌𑄴𑄛𑄚𑄢𑄴,এই মনটা নরম হেছে
"𑄚𑄧𑄚𑄬𑄠𑄳𑄠 𑄃𑄚𑄴𑄘𑄧𑄣𑄬,","বো আালে, /n banner"
"𑄃𑄧𑄣𑄧𑄢𑄴 𑄉𑄧𑄢𑄨 𑄌 𑄌𑄨 𑄉𑄧𑄢𑄨 𑄝𑄌𑄳𑄠𑄬𑄃𑄨 𑄗𑄚,",.অতিরিক্ত করে চাচিে থাকা
𑄞𑄢𑄨 𑄌𑄨𑄖𑄴 𑄞𑄨𑄎𑄨𑄘𑄬 𑄟𑄧𑄢𑄴।,আমার খুব মন খারাপ হ
"𑄃𑄧𑄜𑄪𑄢𑄧𑄚𑄴𑄘𑄨 𑄟𑄧𑄚𑄴 𑄇𑄘𑄢𑄴 𑄇𑄮𑄌𑄴𑄛𑄚 𑄉𑄧𑄎𑄬𑄃𑄨 𑄘𑄨𑄚𑄬𑄃𑄨,",.অপুরন্ত মনের কাটাকুটি কাটানো হ দিনে
"𑄃𑄪 𑄙𑄢𑄮𑄌𑄴 𑄢𑄧 𑄘𑄬𑄟𑄳𑄠 𑄚𑄨𑄢𑄴𑄟𑄮𑄚𑄴,",.উদ্ধত নদীর পানি নিে আসি
"𑄃𑄧𑄣𑄧𑄢𑄴 𑄉𑄧𑄢𑄨 𑄃𑄉𑄧𑄌𑄴 𑄝𑄌𑄳𑄠𑄬𑄃𑄨,",.অতিরিক্ত করে আগুন জ্বলতেছে
𑄥𑄧𑄝𑄧𑄚𑄧𑄖𑄴 𑄘𑄨𑄣𑄪𑄁---,স্বপ্নে দেখলাম
𑄜𑄉𑄪𑄚𑄧 𑄦𑄞 𑄜𑄨𑄢𑄨𑄣𑄬 𑄃𑄢𑄧 𑄃𑄬𑄃𑄨𑄟𑄴 𑄟𑄪𑄃𑄨।,ফাল্গুন মাস ফিরলে আবার আসবো আমি
𑄃𑄟𑄳𑄦 𑄃𑄘𑄟𑄚𑄴,আমাদের গ্রাম
𑄝𑄧𑄁𑄉𑄧𑄟𑄨𑄖𑄳𑄢𑄧 𑄌𑄋𑄴𑄟 𑄸𑄻/𑄷𑄷/𑄸𑄶𑄸𑄸,বঙ্গ মেে ২. বঙ্গ মেে
𑄚𑄚𑄚𑄴 𑄎𑄉 𑄚𑄚 𑄘𑄬𑄌𑄴,নানা জাগা নানা ছবি
"𑄡 𑄝𑄬𑄢𑄳𑄦𑄬𑄣𑄪𑄁 𑄎𑄨𑄁𑄇𑄚𑄨𑄖𑄴,",যেখানে সেখানে ঘুরে বোলাম
𑄝𑄬𑄉𑄧𑄖𑄴𑄖𑄪𑄚𑄴 𑄉𑄧𑄟𑄴 𑄣𑄉𑄬𑄘𑄬 𑄃𑄟𑄳𑄦 𑄘𑄬𑄌𑄴𑄍𑄚𑄧𑄖𑄴,বেগ থেকে ভালো লাগে আমাদের দেশে
𑄝𑄬𑄉𑄧𑄖𑄴𑄖𑄪𑄚𑄴 𑄌𑄨𑄖𑄴 𑄞𑄨𑄎𑄬𑄘𑄬 𑄃𑄟𑄳𑄦 𑄎𑄉𑄚𑄧𑄖𑄴।,বেগ থেকে আমাদের জাগা মন ভিজে যা
"𑄃𑄟𑄳𑄦 𑄃𑄘𑄟𑄚𑄴 𑄃𑄟𑄳𑄦 𑄎𑄉𑄃𑄚𑄴,",আমাদের গ্রামটা আমাদের জাগা
𑄃𑄨𑄠𑄚𑄴 𑄝𑄘𑄬 𑄟𑄧𑄢𑄴 𑄉𑄧𑄟𑄴 𑄚𑄧 𑄣𑄉𑄬 𑄃𑄢𑄴।,এগুলো বাদে আমার ভালো লাগে না
"𑄃𑄟𑄳𑄦 𑄃𑄘𑄟𑄧𑄢𑄴 𑄘𑄮𑄣𑄴 𑄊𑄧𑄢𑄚𑄨,",আমাদের গ্রামের সুন্দর বাি
𑄛𑄪𑄉𑄧 𑄘𑄪𑄡𑄢𑄨 𑄃𑄢𑄴 𑄘𑄬𑄚𑄴𑄥𑄨𑄡𑄢𑄨।,.পুে দৌাদৌি
"𑄎𑄚𑄣𑄃𑄪𑄚𑄴 𑄘𑄨𑄣𑄬 𑄈𑄪𑄣𑄨,",জানালাগুলো বন্ধ করলে খোলে
𑄛𑄨𑄝𑄨𑄢𑄴 𑄛𑄨𑄝𑄨𑄢𑄴 𑄝𑄮𑄃𑄨𑄠𑄬𑄢𑄴 𑄝𑄎𑄬।,জোরে জোরে বাতাস বে
"𑄃𑄉𑄬 𑄝𑄬𑄉𑄧𑄖𑄴𑄖𑄪𑄚𑄴 𑄜𑄪𑄣𑄧 𑄝𑄉𑄚𑄴,",".আগে থেকে ফুল বাগান,এখন ফুল বাগান"
𑄜𑄧𑄣𑄴 𑄝𑄉𑄚𑄧 𑄥𑄧𑄟𑄚𑄴 𑄥𑄧𑄟𑄚𑄴।,.ফুলের বাগান সমান সমান
"𑄉𑄠𑄴 𑄉𑄠𑄴 𑄟𑄧𑄚𑄚𑄴 𑄟𑄧𑄢𑄴 𑄚𑄎𑄨 𑄃𑄪𑄘𑄬,",গাে গাে মনটা আমার নাচতেছে
𑄌𑄬𑄢𑄮𑄇𑄨𑄗𑄳𑄠𑄘𑄨 𑄜𑄪𑄣𑄴 𑄝𑄎𑄬।,এক জাতী ফুল
"𑄃𑄘𑄟𑄧 𑄊𑄎𑄨𑄚𑄬𑄃𑄨 𑄝𑄬𑄋 𑄉𑄋𑄚𑄴,",গ্রামের পাশে ব্যাঙের গাঙ
𑄣𑄮 𑄉𑄋𑄴 𑄛𑄪𑄎𑄴 𑄉𑄋𑄧𑄢𑄴 𑄥𑄧𑄁 𑄘𑄧𑄎𑄧𑄝𑄢𑄴।,.লবনাক্ত নদীর সাথে সংযোগ আছে এমন
"𑄚𑄋𑄬 𑄘𑄟𑄬 𑄃𑄬 𑄘𑄮𑄣𑄴 𑄃𑄘𑄟𑄚𑄴,",.ন্যাকামো করে এই সুন্দর গ্রাম
"𑄡𑄨𑄙𑄪 𑄬𑄫𑄘𑄪𑄋𑄴 𑄥𑄖𑄴 𑄝𑄬𑄇𑄴 𑄥𑄧𑄟𑄢𑄪𑄚𑄴,",যেখানে দুং সাত জন একসাথে থাকে
𑄃𑄨𑄙𑄪 𑄃𑄊𑄧𑄚𑄴 𑄟𑄧𑄢𑄴 𑄝𑄬𑄇𑄴 𑄇𑄪𑄘𑄪𑄟𑄴𑄃𑄪𑄚𑄴।,এখানে আছে আমার সব জিনিসপত্র
"𑄃𑄨𑄠𑄚𑄴 𑄝𑄘𑄬 𑄟𑄧𑄢𑄴 𑄉𑄧𑄟𑄴 𑄚𑄧 𑄣𑄉𑄬,",এগুলো বাদে আমার ভালো লাগে না
𑄃𑄟𑄳𑄦 𑄃𑄘𑄟𑄚𑄴 𑄃𑄟𑄳𑄦 𑄎𑄉𑄃𑄚𑄴,আমাদের গ্রাম আমাদের জাগা
𑄇𑄧𑄣𑄴𑄛𑄧𑄚 𑄖𑄪𑄃𑄨 𑄜𑄨𑄢𑄨 𑄃𑄬𑄞𑄬 𑄞𑄨𑄣𑄨,স্বপ্ন তুমি ফিরে আসবে তো
𑄥𑄪𑄚𑄚𑄪 𑄥𑄮𑄦𑄬𑄣𑄴 𑄖𑄣𑄪𑄇𑄴𑄘𑄢𑄴,.সুগন্ধি লেবু তালুক
𑄌𑄘𑄨 𑄉𑄋𑄧𑄢𑄴 𑄃𑄞 𑄝𑄧𑄘𑄧𑄣𑄨 𑄡𑄢𑄴,চাদি গাঙের আলো পে যা
𑄝𑄬𑄉𑄧𑄢𑄴 𑄟𑄧𑄚𑄧𑄖𑄴 𑄖𑄧𑄢𑄴 𑄘𑄬𑄊𑄨𑄠𑄳𑄠 𑄥𑄧𑄝𑄧𑄚𑄴 𑄟𑄨𑄎𑄨 𑄡𑄢𑄴,বেগের মনে তোমার ছবি দেখে সব মিশে যা
𑄦𑄨𑄁𑄎𑄬 𑄛𑄨𑄎𑄪𑄟𑄴 𑄛𑄚𑄨 𑄉𑄧𑄋𑄢𑄧 𑄣𑄉𑄬 𑄞𑄎𑄨 𑄡𑄢𑄴,.হুক্কার মতো পানি বে যা
