Fourth Division,First Division
আমি একপাশে গিয়ে তাদের থেকে দূর হয়ে থাকলাম,𑄟𑄪𑄠𑄴 𑄃𑄬𑄇𑄴𑄙𑄉𑄧𑄚𑄴𑄚𑄨 𑄎𑄬𑄚𑄬𑄠𑄴 𑄖𑄢𑄳𑄦𑄖𑄴𑄖𑄪𑄚𑄴 𑄈𑄨𑄢𑄨𑄌𑄴 𑄦𑄧𑄣𑄪𑄁𑄉𑄮𑄠𑄴
দূরে দূরে: জিনিসপত্র গুলো দূরে দূরে রাখো,𑄈𑄨𑄢𑄨𑄌𑄴 𑄈𑄨𑄢𑄨𑄌𑄴: 𑄛𑄧𑄏𑄞𑄨𑄢𑄬𑄃𑄚𑄳𑄦𑄨 𑄈𑄨𑄢𑄨𑄌𑄴 𑄈𑄨𑄢𑄨𑄌𑄴 𑄉𑄧𑄢𑄳𑄦𑄨 𑄗𑄧
এই হীরাটা সবথেকে বেশি বড়,𑄃𑄬 𑄈𑄨𑄢𑄬𑄝𑄮 𑄝𑄬𑄉𑄧𑄖𑄴𑄗𑄪𑄚𑄴 𑄝𑄬𑄌𑄴 𑄘𑄋𑄳𑄦𑄧𑄢𑄴
হীরা বসানো নাকের ফুল,𑄈𑄨𑄢𑄬 𑄝𑄧𑄎𑄬𑄠𑄳𑄦𑄬 𑄚𑄇𑄴𑄜𑄪𑄣𑄴𑅁
শসার বাগান,𑄈𑄨𑄢𑄳𑄦𑄬 𑄈𑄬𑄖𑄴
শসার ভর্তা রসুন দেয়া মরিচ দিয়ে খেলে স্বাদ,𑄈𑄨𑄢𑄳𑄦𑄬 𑄇𑄪𑄢𑄴𑄝𑄮 𑄢𑄳𑄦𑄮𑄚𑄴 𑄘𑄳𑄠𑄬 𑄟𑄧𑄢𑄨𑄌𑄴𑄝𑄖𑄴𑄖𑄬𑄣𑄮𑄠𑄴 𑄈𑄬𑄣𑄬 𑄥𑄳𑄠𑄮𑄖𑄴!
দরজার খিল,𑄷. 𑄘𑄮𑄢𑄮 𑄈𑄨𑄣𑄴
দরজার খিল ভালোমতো লাগানো যায় না,𑄘𑄮𑄢𑄚𑄳𑄦𑄧 𑄈𑄨𑄣𑄴𑄣𑄮 𑄟𑄢 𑄚𑄧 𑄎𑄭 𑄉𑄧𑄟𑄬
খিল মারা,𑄈𑄨𑄣𑄴 𑄟𑄢𑄚
পার্বত্য চট্টগ্রাম,𑄸. 𑄈𑄨𑄣𑄴 𑄌𑄘𑄨𑄉𑄁
পাহাড়ি মেয়ে,𑄈𑄨𑄣𑄴𑄣𑄳𑄦𑄮 𑄟𑄨𑄣𑄬
পাহাড়ের ভিতরের মানুষ,𑄈𑄨𑄣𑄳𑄦𑄮 𑄞𑄨𑄘𑄨𑄌𑄴𑄌𑄬 𑄟𑄚𑄳𑄦𑄪𑄌𑄴
পাহাড়ের মধ্যকার জায়গা,𑄈𑄨𑄣𑄳𑄦𑄮 𑄥𑄬𑄢𑄬 𑄎𑄉𑅁
"আমি না থাকলে পুরো ঘর তন্নতন্ন করে খুজে মনে হয়, কি আছে কি নেই","𑄃𑄟𑄧𑄚𑄬 𑄚𑄧 𑄗𑄬𑄣𑄬 𑄃𑄨𑄏𑄪 𑄉𑄧𑄘 𑄊𑄧𑄢𑄚𑄴 𑄈𑄨𑄣𑄴𑄈𑄨𑄣𑄭𑄘𑄬 𑄛𑄢𑄳𑄦𑄛𑄁, 𑄇𑄪𑄚𑄴𑄚𑄳𑄦𑄨 𑄇𑄨 𑄃𑄊𑄬 𑄇𑄨 𑄚𑄬𑄠𑄴𑅁"
মেয়েরা হিল জুতা পরিধান করে,𑄟𑄨𑄣𑄬𑄃𑄪𑄚𑄳𑄦𑄬 𑄈𑄨𑄣𑄴 𑄎𑄧𑄖 𑄛𑄨𑄚𑄮𑄚𑄴𑄙𑄬𑅁
পাহাড়ি মেয়ে জুমে গিয়েছ,𑄈𑄨𑄣𑄴𑄣𑄳𑄦𑄮 𑄟𑄨𑄣𑄬𑄞𑄮 𑄎𑄪𑄟𑄮𑄖𑄴 𑄎𑄭𑄘𑄳𑄠𑄬𑅁
পানের খিলিক,𑄛𑄚𑄴 𑄈𑄨𑄣𑄨𑄇𑄴
সুপারি এক খিলিক খাবা নাকি?,𑄥𑄪𑄝𑄮𑄢𑄨 𑄃𑄬𑄇𑄴 𑄈𑄨𑄣𑄨𑄇𑄴 𑄈𑄬𑄝𑄬 𑄚𑄇𑄨?
খীসা হলো চাকমাদের একটা খেতাব,𑄈𑄨𑄥 𑄦𑄧𑄣𑄧𑄘𑄬 𑄌𑄁𑄟𑄳𑄦 𑄃𑄪𑄚𑄮 𑄃𑄬𑄇𑄴𑄊𑄚𑄴 𑄖𑄭𑄗𑄬𑄣𑄴𑅁
বাচ্চাটা কাউকে গ্রাহ্য করে না,𑄉𑄪𑄢𑄮𑄞𑄮 𑄇𑄢𑄳𑄦𑄧𑄢𑄬 𑄈𑄨𑄠𑄬 𑄚𑄧 𑄉𑄧𑄢𑄳𑄦𑄬
"এই বাচ্চাটাকে কি যেতে বললেও যায় না, কাউকে গ্রাহ্য করে না","𑄃𑄬 𑄇𑄪𑄉𑄪𑄢𑄴𑄞𑄮 𑄇𑄨 𑄙𑄝𑄬 𑄘𑄨𑄣𑄳𑄦𑄬𑄠𑄮 𑄚𑄧 𑄎𑄭, 𑄈𑄨𑄠𑄬𑄠𑄳𑄦𑄮 𑄚𑄧 𑄉𑄧𑄢𑄳𑄦𑄬 𑄇𑄢𑄳𑄦𑄧𑄢𑄬𑅁"
কি কেমন পাচ্ছো এখন,"𑄈𑄨𑄂, 𑄇𑄬𑄚𑄴𑄏𑄚𑄴 𑄛𑄳𑄦𑄌𑄴 𑄃𑄨𑄇𑄴𑄈𑄪!"
এই মাছ তরকারিতে শুধু কাটা,𑄥𑄬 𑄟𑄌𑄴 𑄖𑄮𑄚𑄳𑄦𑄚𑄴 𑄝𑄚 𑄇𑄘𑅁
এই কাশির শব্দ সকাল থেকে,𑄖𑄬 𑄈𑄪𑄇𑄴𑄇𑄪𑄣𑄪𑄁 𑄈𑄪𑄇𑄴𑄇𑄪𑄣𑄳𑄦𑄪𑄁 𑄇𑄏𑄬𑄢𑄴 𑄝𑄨𑄚𑄴𑄐𑄳𑄦𑄬𑄖𑄴𑄖𑄪𑄚𑄴 𑄙𑄧𑄢𑄨𑅁
স্কুল/ ক্লাস ফাকি দিয়ে বন্ধুদের সাথে ঘুরা ভালো না,𑄃𑄨𑄌𑄴𑄇𑄪𑄣𑄴/ 𑄇𑄬𑄣𑄳𑄦𑄌𑄴 𑄈𑄪𑄉𑄬𑄚𑄬𑄠𑄴 𑄥𑄧𑄁𑄥𑄧𑄟𑄌𑄴𑄎𑄬𑄣𑄮𑄠𑄴 𑄝𑄬𑄢𑄚 𑄉𑄧𑄟𑄴 𑄚𑄳𑄦𑄧𑄠𑄴𑅁
ফাকি দেয়া: আজকে ক্লাস ফাকি দেয়া হলো,𑄈𑄪𑄉𑄮𑄚𑄨 𑄦𑄧𑄚/𑄉𑄧𑄢𑄚𑄳𑄦: 𑄃𑄨𑄌𑄴𑄌𑄬 𑄇𑄬𑄣𑄳𑄦𑄌𑄴𑄌𑄮 𑄈𑄪𑄉𑄮𑄚𑄨 𑄦𑄧𑄣𑄧
ক্লাস ফাকি দেয়া ভালো না,𑄇𑄬𑄣𑄳𑄦𑄌𑄴 𑄈𑄪𑄉𑄮𑄚𑄨 𑄉𑄧𑄢𑄚𑄳𑄦 𑄉𑄧𑄟𑄴 𑄚𑄳𑄦𑄧𑄠𑅁
কুয়াশা পড়া: শীত কালে সকাল বেলা কুয়াশা পড়ে,𑄈𑄪𑄉𑄮 𑄛𑄧𑄢𑄚: 𑄎𑄢𑄴 𑄇𑄭𑄣𑄴𑄣𑄬 𑄝𑄨𑄚𑄴𑄐𑄳𑄦𑄬 𑄛𑄰𑄱𑄖𑄴𑄗𑄬 𑄈𑄪𑄉𑄮 𑄛𑄧𑄢𑄬
"রাস্তা পুরাটা কুয়াশায় ভরা, কিছুই দেখা যাচ্ছে না","𑄛𑄧𑄖𑄴𑄗𑄚𑄴 𑄉𑄧𑄘 𑄈𑄪𑄉𑄮, 𑄇𑄨𑄌𑄴𑄍𑄪 𑄘𑄬𑄊 𑄚𑄧 𑄎𑄭"
কুয়াশার মাঝ দিয়ে যাওয়া,𑄈𑄪𑄉𑄮 𑄥𑄬𑄢𑄬 𑄥𑄬𑄢𑄬 𑄎𑄚
"চোখগুলো কি হয়েছে কীজানি, শুধু কুয়াশা কুয়াশা দেখি","𑄌𑄮𑄇𑄴𑄈𑄪𑄚𑄴 𑄇𑄨 𑄦𑄪𑄠𑄮𑄚𑄴 𑄇𑄨𑄎𑄬𑄚𑄨, 𑄝𑄚 𑄈𑄪𑄉𑄮 𑄈𑄪𑄉𑄮 𑄘𑄬𑄉𑄧𑄁𑄊𑄬𑅁"
হরিণের পদচিহ্ন,𑄦𑄧𑄢𑄨𑄋𑄮 𑄈𑄪𑄌𑄴
মানুষের পদচিহ্ন,𑄟𑄭𑄚𑄴𑄏𑄮 𑄈𑄪𑄌𑄴
জুতা/সেন্ডেলের পদচিহ্ন,𑄎𑄧𑄖/𑄌𑄬𑄚𑄴𑄘𑄬𑄣𑄳𑄦𑄧 𑄈𑄪𑄌𑄴
হাতির পদচিহ্ন,𑄦𑄬𑄘𑄮 𑄈𑄪𑄌𑄴
পদচিহ্ন অনুসরণ করে যাওয়া: সে হরিণের পদচিহ্ন অনুসরণ করে যাচ্ছে,𑄈𑄪𑄌𑄴 𑄦𑄘𑄬 𑄦𑄘𑄬 𑄎𑄚: 𑄖𑄬 𑄦𑄧𑄢𑄨𑄋𑄮 𑄈𑄪𑄌𑄴𑄌𑄪𑄚𑄴 𑄦𑄘𑄬 𑄦𑄘𑄬 𑄎𑄢𑄴
"পদক্ষেপ বড়ো করো, ধীরে ধীরে হাঁটলে মাঝ পথে রাত হয়ে আসবে","𑄸. 𑄈𑄪𑄌𑄴𑄌𑄪𑄚𑄴 𑄘𑄋𑄳𑄦𑄧𑄢𑄴 𑄉𑄧𑄢𑄳𑄦𑄧, 𑄣𑄢𑄳𑄦𑄬 𑄣𑄢𑄳𑄦𑄬 𑄦𑄘𑄨𑄣𑄬 𑄃𑄙 𑄛𑄧𑄙𑄧𑄖𑄴 𑄢𑄬𑄖𑄴 𑄦𑄧𑄝𑄧𑄉𑄮𑄠𑄴"
ধীরে ধীরে পদক্ষেপ নিলে আজকে আর কখন পোঁছাব,𑄣𑄢𑄳𑄦𑄬 𑄣𑄢𑄳𑄦𑄬 𑄈𑄪𑄌𑄴 𑄝𑄝𑄬𑄣𑄳𑄦𑄬 𑄃𑄨𑄌𑄴𑄌𑄬 𑄇𑄧𑄟𑄧𑄣𑄬 𑄣𑄳𑄦𑄪𑄋𑄨𑄘𑄬𑄉𑄮𑄠𑄴
পদক্ষেপ নেয়া: আমরা একপা দুপা পদক্ষেপ নিচ্ছি,𑄈𑄪𑄌𑄴 𑄝𑄝𑄚𑄳𑄦/𑄝𑄢𑄚𑄳𑄦: 𑄃𑄟𑄳𑄦𑄨 𑄃𑄬𑄇𑄴𑄊𑄚𑄴 𑄘𑄨𑄠𑄳𑄦𑄬𑄚𑄴 𑄈𑄪𑄌𑄴 𑄝𑄢𑄳𑄦𑄬𑄢𑄴𑅁
পাস করে সে কি খুশি ! তুমি খুশি হলে আমিও খুশি,𑄛𑄌𑄴 𑄉𑄧𑄢𑄨𑄚𑄳𑄦𑄬𑄠𑄴 𑄖𑄬 𑄇𑄨 𑄈𑄪𑄎𑄳𑄦𑄨! 𑄖𑄪𑄠𑄴 𑄈𑄪𑄎𑄳𑄦𑄨 𑄦𑄧𑄣𑄬 𑄟𑄪𑄠𑄳𑄦𑄮 𑄈𑄪𑄎𑄳𑄦𑄨
এই খুশিটা সারাজীবন থাকবে না,𑄃𑄬 𑄈𑄪𑄎𑄳𑄦𑄨 𑄇𑄧𑄚𑄳𑄦𑄧 𑄥𑄢 𑄎𑄧𑄚𑄧𑄟𑄴𑄟𑄳𑄦𑄮 𑄚𑄧 𑄗𑄬𑄝𑄧
আকাশের সব খুশি গুলো তোমাকে দিলাম,𑄃𑄉𑄏𑄧𑄢𑄴 𑄝𑄬𑄇𑄴 𑄈𑄪𑄎𑄳𑄦𑄨𑄃𑄚𑄳𑄦𑄨 𑄟𑄪𑄠𑄴 𑄖𑄧𑄢𑄳𑄦𑄬 𑄘𑄨𑄣𑄳𑄦𑄪𑄁𑅁
সে বার বার ঝগড়া খুজতে আসে,𑄖𑄬 𑄈𑄪𑄎𑄨𑄈𑄪𑄎𑄨 𑄇𑄪𑄌𑄴𑄎𑄬 𑄖𑄧𑄉𑄠𑄳𑄦𑄨𑅁
সে হাসিখুসি আমদের বিদায় দিলো,𑄖𑄬 𑄈𑄪𑄎𑄨𑄢𑄎𑄨 𑄉𑄧𑄢𑄳𑄦𑄨 𑄃𑄟𑄳𑄦𑄢𑄬 𑄝𑄨𑄘𑄬𑄠𑄴 𑄘𑄨𑄣𑄳𑄦𑄮𑅁
চাকচিক্যহীন করে থাকা/ চলা: মানুষটা অনেকবেশি চাকচিক্যহীন করে চলে/ থাকে,𑄈𑄪𑄎𑄪𑄢𑄮 𑄉𑄧𑄢𑄳𑄦𑄨 𑄗𑄚/𑄌𑄧𑄣𑄚: 𑄟𑄚𑄳𑄦𑄪𑄌𑄴𑄌𑄮 𑄃𑄧𑄟𑄧𑄉𑄧𑄘𑄧 𑄈𑄪𑄎𑄪𑄢𑄮 𑄉𑄧𑄢𑄳𑄦𑄨 𑄌𑄧𑄣𑄬/𑄗𑄭
ওইরকম চাকচিক্যহীন মানুষের সাথে আমি কথা বলি না,𑄥𑄬 𑄈𑄪𑄎𑄪𑄢𑄮 𑄟𑄚𑄪𑄌𑄴𑄍𑄮𑄠𑄴 𑄟𑄪𑄠𑄴 𑄇𑄧𑄙 𑄚𑄧 𑄇𑄳𑄦𑄧𑄁𑅁
মুরগি গুলো চালের খুদগুলো খাবার মনে করে খায়,𑄇𑄪𑄢𑄳𑄦𑄮𑄃𑄪𑄚𑄬 𑄈𑄪𑄖𑄴𑄖𑄪𑄚𑄴 𑄃𑄙𑄢𑄴 𑄞𑄨𑄣𑄨𑄚𑄬𑄠𑄴 𑄈𑄚𑄴𑄚𑄬
চালের খুদ মন্ত্র পড়ে দিলে কি রোগ ভালো হয় নাকি,𑄈𑄪𑄖𑄴 𑄛𑄧𑄢𑄳𑄦 𑄘𑄨𑄣𑄳𑄦𑄬 𑄇𑄨 𑄛𑄬𑄖𑄴 𑄛𑄨𑄢𑄬 𑄉𑄧𑄟𑄴 𑄦𑄧𑄠𑄴𑄘𑄬 𑄚𑄬?
এক জাতের পিঁপড়ার বাসা,𑄈𑄪𑄖𑄴 𑄛𑄨𑄉𑄨𑄢𑄳𑄦𑄬 𑄝𑄳𑄦
এক জাতের পিঁপড়া গুলো বেড়িয়ে পড়েছে তাকে,𑄈𑄪𑄖𑄴 𑄛𑄨𑄉𑄨𑄢𑄳𑄦𑄬𑄃𑄪𑄚𑄬 𑄝𑄬𑄢𑄳𑄦𑄬 𑄇𑄮𑄢𑄳𑄦𑄬 𑄙𑄧𑄌𑄴𑄌𑄮𑄚𑄴 𑄖𑄢𑄳𑄦𑄬
কাকা- ভাইপো,𑄈𑄪𑄖𑄴𑄖𑄮 – 𑄞𑄬𑄠𑄴𑄛𑄪𑄖𑄴
কাকা-চাচা,𑄈𑄪𑄖𑄴𑄖𑄮 – 𑄎𑄬𑄖𑄴𑄗
কাকাত বোন,𑄈𑄪𑄖𑄴𑄖𑄮 𑄏𑄨 𑄞𑄮𑄚𑄴
কাকাত ভাই,𑄈𑄪𑄖𑄴𑄖𑄮 𑄛𑄪𑄖𑄴 𑄞𑄬𑄠𑄴
সাপে কামড়ানো,𑄷. 𑄥𑄝𑄬 𑄈𑄪𑄘𑄚
পাখিটা বাদুরটাকে পাইলেই কামড়ায়,𑄸. 𑄛𑄬𑄇𑄴𑄈𑄮 𑄌𑄧𑄉𑄧𑄘𑄞𑄮𑄢𑄬 𑄃𑄬𑄣𑄳𑄦𑄬 𑄈𑄪𑄘𑄬
চুলকাই দেয়া পিটটা একটু চুলকাই দাও,𑄈𑄪𑄘𑄨 𑄘𑄬𑄚: 𑄛𑄨𑄖𑄴𑄗𑄚𑄴 𑄃𑄬𑄇𑄴𑄇 𑄈𑄪𑄘𑄨 𑄘𑄬 𑄙𑄬𑅁
১. তালি তালি,𑄷. 𑄖𑄣𑄨 𑄖𑄣𑄨
তালি দাও,𑄖𑄣𑄨 𑄘𑄬𑄚
তার পেন্টটা ছেঁড়া ছেঁড়া হয়েছে,𑄖 𑄛𑄳𑄦𑄬𑄚𑄴𑄚𑄮 𑄖𑄣𑄨 𑄖𑄣𑄨 𑄦𑄪𑄠𑄬
সে কী এখনো ছেঁড়া শার্ট পড়ে,𑄖𑄬 𑄇𑄨 𑄃𑄬𑄞𑄧 𑄖𑄣𑄨 𑄘𑄳𑄠𑄬 𑄥𑄪𑄣𑄪𑄟𑄴 𑄃𑄪𑄢𑄳𑄦𑄬 𑄇𑄨𑄎𑄬𑄚𑄨
বুদ্ধের সময়ে কাপড়ের উপড় কাপড় ‍দিয়ে চীবরগুলো সেলাই করতো,𑄖𑄣𑄨 𑄃𑄪𑄉𑄪𑄢𑄬 𑄖𑄣𑄨 𑄘𑄨𑄚𑄬𑄘𑄨 𑄝𑄪𑄖𑄴𑄙𑄮 𑄃𑄧𑄇𑄴𑄗𑄧𑄖𑄴 𑄌𑄨𑄝𑄧𑄢𑄚𑄳𑄦𑄨 𑄥𑄬𑄣𑄬𑄘𑄇𑄴
সে মিথ্যা কথাগুলো তাৎক্ষনিক বলে দিতো,𑄖𑄬 𑄟𑄨𑄏𑄬 𑄇𑄧𑄙𑄚𑄨 𑄜𑄪𑄎𑄪𑄖𑄴 𑄖𑄣𑄨 𑄘𑄬𑄘𑄬
২. হাত তালি,𑄸. 𑄦𑄘𑄧 𑄖𑄣𑄨
সে খুশিতে হাত তালি দিল,𑄖𑄬 𑄈𑄪𑄎𑄨𑄠𑄬 𑄦𑄘𑄧 𑄖𑄣𑄨 𑄘𑄨𑄣𑄳𑄦𑄮
হাত তালি দিতে দিতে হাতে ফোঁচকা উঠে গেল,𑄦𑄘𑄧 𑄖𑄣𑄨 𑄘𑄬𑄘𑄬 𑄘𑄬𑄘𑄬 𑄎𑄚𑄬 𑄦𑄘𑄧𑄖𑄴 𑄜𑄧𑄎 𑄃𑄪𑄘𑄳𑄦𑄨 𑄎𑄬𑄣𑄳𑄦𑄇𑄴𑅁
ঔষধের তালিকা,𑄘𑄢𑄪 𑄖𑄣𑄳𑄦𑄨𑄇𑄴
বৈদ্যটার ঔষধী তালিকাটি ভালো আছে,𑄝𑄰𑄱𑄖𑄴𑄘𑄮𑄞𑄮 𑄘𑄢𑄪 𑄖𑄣𑄳𑄦𑄨𑄇𑄴𑄇𑄮 𑄉𑄧𑄟𑄴 𑄃𑄊𑄬
তার ঔষধগুলো খেয়ে সে রোগটি তুমি থাকো আমি যাই এমন অবস্থা,𑄖 𑄘𑄢𑄪 𑄖𑄣𑄳𑄦𑄨𑄇𑄴𑄇𑄮 𑄈𑄬𑄚𑄬𑄠𑄴 𑄥𑄬 𑄛𑄨𑄢𑄬 𑄃𑄬𑄇𑄴𑄈𑄬 𑄖𑄪𑄠𑄴 𑄗𑄇𑄴 𑄟𑄪𑄠𑄴 𑄎𑄁
তালিকা দেখে বাজারগুলো আনবে বুঝছো? তালিকা অনুসারে সবগুলো যোগাড় করা কষ্টকর,"𑄖𑄣𑄳𑄦𑄨𑄇𑄴 𑄙𑄧𑄢𑄨 𑄙𑄧𑄢𑄨 𑄝𑄎𑄢𑄚𑄳𑄦𑄨 𑄃𑄚𑄨𑄞𑄬, 𑄝𑄪𑄌𑄴𑄍𑄮𑄌𑄴? 𑄖𑄣𑄨𑄊𑄮 𑄙𑄧𑄉𑄬 𑄙𑄧𑄉𑄬 𑄝𑄬𑄇𑄴𑄇𑄚𑄳𑄦𑄨 𑄎𑄪𑄇𑄴𑄇𑄮𑄣𑄚 𑄃𑄉𑄭𑄖𑄴𑄗𑄬"
"উন্দুচ্ছে বৈদ্য ঔষধী তালিকায় আছে- ভূতে লাগানো আদা, কেঁ পোকার কোমড়ের হাড়","𑄃𑄪𑄚𑄴𑄘𑄪𑄌𑄴𑄌𑄬 𑄝𑄰𑄱𑄖𑄴𑄘𑄮 𑄘𑄢𑄪 𑄖𑄣𑄨𑄊𑄮𑄖𑄴 𑄃𑄉𑄬𑄙𑄬 – 𑄞𑄪𑄘𑄬 𑄣𑄉𑄬𑄠𑄬 𑄃𑄘, 𑄇𑄬𑄀 𑄛𑄪𑄊𑄮 𑄙𑄉𑄧 𑄦𑄢𑄴𑅁"
বিদায় দাও,𑄖𑄳𑄦 𑄖𑄳𑄦 𑄘𑄬𑄚
তারা আসার সময় আমাদের বিদায় দিল,𑄖𑄢𑄳𑄦 𑄃𑄟𑄳𑄦𑄢𑄬 𑄖𑄳𑄦 𑄖𑄳𑄦 𑄘𑄨𑄣𑄳𑄦𑄇𑄴 𑄃𑄬𑄖𑄴𑄗𑄬 𑄥𑄧𑄣𑄖𑄴
বাচ্চাটা বিদায় দিতে দিতে যাচ্ছে,𑄉𑄪𑄢𑄮𑄞𑄮 𑄖𑄳𑄦 𑄖𑄳𑄦 𑄘𑄨𑄘𑄨 𑄎𑄣𑄴𑄣𑄮𑄠𑄴
আমরা আসার সময় বিদায় দিয়ে আসলাম,𑄃𑄟𑄳𑄦𑄨 𑄃𑄬𑄞𑄢𑄴 𑄇𑄘𑄣𑄴𑄣𑄬 𑄖𑄳𑄦 𑄖𑄳𑄦 𑄘𑄨𑄘𑄭 𑄃𑄨𑄌𑄴𑄍𑄬𑄠𑄴𑅁
তােমার গলায় কী ঝোলানো আছে? গাছে একট দোলনা ঝোলানো আছে।,𑄖𑄧 𑄉𑄧𑄖𑄴𑄖𑄧𑄚𑄞𑄮𑄖𑄴 𑄥𑄨𑄝𑄬 𑄇𑄨 𑄖𑄁𑄋𑄬 𑄉𑄧𑄢𑄳𑄦𑄨 𑄃𑄊𑄬? 𑄉𑄌𑄴𑄍𑄮𑄖𑄴 𑄃𑄬𑄇𑄴𑄊𑄚𑄴 𑄙𑄪𑄣𑄮𑄚𑄴 𑄖𑄁𑄋𑄬 𑄃𑄊𑄬𑅁
তাঙোনি কাপড়,𑄖𑄁𑄋𑄮𑄚𑄴 𑄇𑄚𑄨
তাঙোন বেঁধে দাও,𑄖𑄁𑄋𑄮𑄚𑄴 𑄖𑄋𑄬 𑄘𑄬𑄚
মানুষ মরলে তাঙোন বেঁধে দেয়,𑄟𑄚𑄳𑄦𑄪𑄌𑄴 𑄟𑄧𑄣𑄳𑄦𑄬 𑄖𑄁𑄋𑄮𑄚𑄴 𑄖𑄋𑄬 𑄘𑄮𑄚𑄴
ফুলের তাঙোন কে বুনতে পারে? তাঙোন বাঁধা অবস্থায় দেখলে আমার ভয় করে।,𑄜𑄪𑄣𑄮 𑄖𑄁𑄋𑄮𑄚𑄴 𑄇𑄧𑄚𑄴𑄚𑄳𑄦 𑄝𑄪𑄚𑄨 𑄎𑄚𑄳𑄦𑄬? 𑄖𑄁𑄋𑄮𑄚𑄴 𑄖𑄁𑄋𑄬 𑄘𑄨𑄉𑄨𑄣𑄳𑄦𑄬 𑄟𑄪𑄠𑄴 𑄘𑄧𑄢𑄬 𑄣𑄬𑄘 𑄦𑄧𑄁
সে নাকি তাঙোন বাঁশটা দেখলেও ভয় পায়,𑄖𑄬 𑄞𑄬𑄣𑄬 𑄖𑄁𑄋𑄮𑄚𑄴 𑄝𑄌𑄴𑄍𑄮 𑄘𑄨𑄉𑄨𑄣𑄳𑄦𑄬𑄠𑄮 𑄘𑄧𑄢𑄭𑅁
সে ছেলেটা পড়ালেখায় দক্ষ,𑄥𑄬 𑄛𑄮𑄞𑄮 𑄣𑄬𑄊𑄛𑄧𑄢𑄖𑄴 𑄖𑄁 𑄖𑄁
সে ছোটবেলা থেকে দক্ষ করে উঠেছিল,𑄖𑄬 𑄌𑄨𑄉𑄮𑄚𑄧𑄖𑄴𑄗𑄪𑄚𑄴 𑄙𑄧𑄢𑄨 𑄖𑄁𑄖𑄁 𑄉𑄧𑄢𑄳𑄦𑄨 𑄃𑄭𑄪𑄖𑄴𑄗𑄬
কথায় বেশ পটু,𑄖𑄁 𑄖𑄁 𑄇𑄧𑄙
বাচ্চাটা খুবই চঞ্চল,𑄉𑄪𑄢𑄮𑄞𑄮 𑄃𑄧𑄟𑄧𑄉𑄧𑄘𑄧 𑄖𑄁 𑄝𑄢𑄳𑄦
বেশি করতেছে সে,𑄖𑄁 𑄝𑄢𑄳𑄦 𑄉𑄧𑄢𑄬𑄖𑄴𑄗𑄬 𑄘𑄬 𑄥𑄨𑄝𑄳𑄦𑄬
কী চঞ্চল এই বাচ্চাটা! রোদে দেয়া সিমগুলো পা দিয়ে পিছে গেল,𑄇𑄨 𑄖𑄁𑄝𑄢𑄳𑄦 𑄉𑄪𑄢𑄮 𑄃𑄳𑄦𑄬𑄘𑄧𑄇𑄴 𑄥𑄨𑄝𑄳𑄦𑄬! 𑄢𑄮𑄘𑄮𑄖𑄴 𑄘𑄮𑄁𑄊𑄬 𑄥𑄪𑄟𑄨𑄃𑄳𑄦𑄪𑄚𑄴 𑄦𑄪𑄢𑄨 𑄘𑄨 𑄘𑄨 𑄎𑄬𑄣𑄧𑄙𑄬𑅁
"১. তোমার জায়গা, তোমার দেশ,তোমার মাটি","𑄷. 𑄖𑄧 𑄎𑄉, 𑄖𑄧 𑄘𑄬𑄌𑄴, 𑄖𑄧 𑄟𑄘𑄨"
"তোমার বাড়ি তোমার স্বামী, স্ত্রী তোমার ছেলে/মেয়ে","𑄖𑄧 𑄊𑄧𑄢𑄴 𑄖𑄧 𑄚𑄬𑄇𑄴, 𑄟𑄮𑄇𑄴 𑄖𑄧 𑄛𑄮/ 𑄏𑄨"
"তোমার আত্মীয়, তোমার বন্ধুবান্ধব","𑄖𑄧 𑄇𑄪𑄘𑄪𑄟𑄴, 𑄖𑄧 𑄥𑄧𑄟𑄌𑄴𑄎𑄬"
"সেগুলো কোনোকিছুই তোমার না, শুধু কর্মটা তোমার","𑄥𑄨𑄠𑄚𑄳𑄦𑄨 𑄇𑄨𑄌𑄴𑄍𑄪 𑄖𑄧𑄢𑄴 𑄚𑄳𑄦𑄧𑄠𑄴, 𑄝𑄚 𑄇𑄧𑄢𑄴𑄟𑄧𑄞𑄮 𑄦𑄧𑄣𑄧𑄘𑄬 𑄖𑄧𑄢𑄴"
দাবা রাখ,𑄸. 𑄘𑄝 𑄖𑄧
মাথায় দেয়া কয়লা,𑄇𑄪𑄣𑄴𑄣𑄨𑄖𑄴 𑄘𑄮𑄚𑄴𑄚𑄬 𑄖𑄧
কয়লা গরম হওয়া,𑄹. 𑄖𑄧 𑄜𑄪𑄘𑄚/ 𑄛𑄚𑄳𑄦
"সূর্যের তাপ বাড়তেছে, একটু একটু পিটে তাপ পড়তেছে","𑄝𑄬𑄣𑄳𑄦𑄚𑄴 𑄖𑄘𑄬𑄢𑄴, 𑄃𑄬𑄇𑄴𑄇 𑄃𑄬𑄇𑄴𑄇 𑄛𑄨𑄙𑄨𑄖𑄴 𑄖𑄧 𑄜𑄪𑄘𑄬𑄢𑄴"
পাছায় তাপ পড়া পর্যন্ত সে ঘুমায়,𑄛𑄪𑄚𑄮𑄖𑄴 𑄖𑄧 𑄜𑄪𑄘𑄬 𑄥𑄧𑄁 𑄊𑄪𑄟𑄴 𑄎𑄭𑄘𑄬 𑄖𑄬
